FILENAME,LEYE_CENTER_X,LEYE_CENTER_Y,REYE_CENTER_X,REYE_CENTER_Y
s01_50_IR_F_0001.png,558,396,469,396
s01_50_IR_F_0026.png,560,395,471,397
s01_50_IR_F_0051.png,560,397,471,397
s01_50_IR_F_0076.png,560,397,471,399
s01_50_IR_F_0101.png,559,397,469,398
s01_50_IR_F_0126.png,557,397,468,398
s01_50_IR_F_0151.png,560,398,470,399
s01_50_IR_F_0176.png,560,398,470,398
s01_50_IR_F_0201.png,559,399,470,400
s01_50_IR_F_0226.png,560,399,470,400
s01_50_IR_F_0251.png,560,399,471,399
s01_50_IR_F_0276.png,558,399,468,401
s01_50_IR_F_0301.png,563,401,474,400
s01_50_IR_F_0326.png,565,402,475,401
s01_50_IR_F_0351.png,565,402,475,401
s01_50_IR_F_0376.png,567,402,480,401
s01_50_IR_F_0401.png,568,401,482,400
s01_50_IR_F_0426.png,567,402,0,0
s01_50_IR_F_0451.png,565,401,478,400
s01_50_IR_F_0476.png,562,402,474,402
s01_50_IR_F_0501.png,564,402,474,402
s01_50_IR_F_0526.png,562,402,472,402
s01_50_IR_F_0551.png,560,402,470,402
s01_50_IR_F_0576.png,559,401,471,402
s01_50_IR_F_0601.png,559,400,468,402
s01_50_IR_F_0626.png,561,401,471,401
s01_50_IR_F_0651.png,562,400,472,401
s01_50_IR_F_0676.png,562,400,471,400
s01_50_IR_F_0701.png,562,401,472,401
s01_50_IR_F_0726.png,565,401,475,400
s01_50_IR_F_0751.png,566,402,476,401
s01_50_IR_F_0776.png,564,402,474,400
s01_50_IR_F_0801.png,564,402,475,401
s01_50_IR_F_0826.png,564,402,474,401
s01_50_IR_F_0851.png,564,402,474,402
s01_50_IR_F_0876.png,563,402,472,402
s01_50_IR_F_0901.png,563,403,472,403
s01_50_IR_F_0926.png,563,402,473,402
s01_50_IR_F_0951.png,0,0,471,402
s01_50_IR_F_0976.png,0,0,472,402
s01_50_IR_F_1001.png,555,400,471,401
s01_50_IR_F_1026.png,555,400,470,401
s01_50_IR_F_1051.png,0,0,472,401
s01_50_IR_F_1076.png,0,0,473,401
s01_50_IR_F_1101.png,0,0,474,401
s01_50_IR_F_1126.png,0,0,473,401
s01_50_IR_F_1151.png,0,0,473,401
s01_50_IR_F_1176.png,0,0,475,400
s01_50_IR_F_1201.png,0,0,473,400
s01_50_IR_F_1226.png,0,0,474,400
s01_50_IR_F_1251.png,0,0,474,400
s01_50_IR_F_1276.png,0,0,474,400
s01_50_IR_F_1301.png,0,0,472,399
s01_50_IR_F_1326.png,0,0,471,398
s01_50_IR_F_1351.png,0,0,0,0
s01_50_IR_F_1376.png,0,0,471,397
s01_50_IR_F_1401.png,0,0,470,397
s01_50_IR_F_1426.png,558,397,469,398
s01_50_IR_F_1451.png,0,0,466,399
s01_50_IR_F_1476.png,0,0,466,401
s01_50_IR_F_1501.png,0,0,467,401
s01_50_IR_F_1526.png,0,0,465,399
s01_50_IR_F_1551.png,0,0,465,401
s01_50_IR_F_1576.png,0,0,465,401
s01_50_IR_F_1601.png,0,0,465,401
s01_50_IR_F_1626.png,0,0,464,401
s01_50_IR_F_1651.png,0,0,466,401
s01_50_IR_F_1676.png,558,405,466,402
s01_50_IR_F_1701.png,558,403,465,402
s01_50_IR_F_1726.png,557,403,465,402
s01_50_IR_F_1751.png,558,400,468,403
s01_50_IR_F_1776.png,558,401,467,402
s01_50_IR_L_0001.png,552,364,0,0
s01_50_IR_L_0026.png,550,367,0,0
s01_50_IR_L_0051.png,550,369,0,0
s01_50_IR_L_0076.png,474,367,0,0
s01_50_IR_L_0101.png,550,368,0,0
s01_50_IR_L_0126.png,550,368,0,0
s01_50_IR_L_0151.png,549,367,0,0
s01_50_IR_L_0176.png,472,369,0,0
s01_50_IR_L_0201.png,471,369,0,0
s01_50_IR_L_0226.png,473,369,0,0
s01_50_IR_L_0251.png,473,369,0,0
s01_50_IR_L_0276.png,476,370,0,0
s01_50_IR_L_0301.png,475,370,0,0
s01_50_IR_L_0326.png,473,370,0,0
s01_50_IR_L_0351.png,479,371,0,0
s01_50_IR_L_0376.png,481,370,0,0
s01_50_IR_L_0401.png,479,370,0,0
s01_50_IR_L_0426.png,478,370,0,0
s01_50_IR_L_0451.png,473,370,0,0
s01_50_IR_L_0476.png,473,372,0,0
s01_50_IR_L_0501.png,475,371,0,0
s01_50_IR_L_0526.png,474,372,0,0
s01_50_IR_L_0551.png,471,371,0,0
s01_50_IR_L_0576.png,472,370,0,0
s01_50_IR_L_0601.png,0,0,453,549
s01_50_IR_L_0626.png,473,370,0,0
s01_50_IR_L_0651.png,474,370,0,0
s01_50_IR_L_0676.png,476,369,0,0
s01_50_IR_L_0701.png,0,0,454,549
s01_50_IR_L_0726.png,474,369,0,0
s01_50_IR_L_0751.png,476,369,0,0
s01_50_IR_L_0776.png,0,0,456,549
s01_50_IR_L_0801.png,474,369,0,0
s01_50_IR_L_0826.png,474,369,0,0
s01_50_IR_L_0851.png,474,370,0,0
s01_50_IR_L_0876.png,471,371,0,0
s01_50_IR_L_0901.png,472,371,0,0
s01_50_IR_L_0926.png,473,372,0,0
s01_50_IR_L_0951.png,471,372,0,0
s01_50_IR_L_0976.png,473,371,0,0
s01_50_IR_L_1001.png,474,371,0,0
s01_50_IR_L_1026.png,474,371,0,0
s01_50_IR_L_1051.png,474,371,0,0
s01_50_IR_L_1076.png,474,370,0,0
s01_50_IR_L_1101.png,476,370,0,0
s01_50_IR_L_1126.png,475,370,0,0
s01_50_IR_L_1151.png,475,369,0,0
s01_50_IR_L_1176.png,476,369,0,0
s01_50_IR_L_1201.png,476,368,0,0
s01_50_IR_L_1226.png,476,367,0,0
s01_50_IR_L_1251.png,476,367,0,0
s01_50_IR_L_1276.png,477,368,0,0
s01_50_IR_L_1301.png,478,365,0,0
s01_50_IR_L_1326.png,478,364,0,0
s01_50_IR_L_1351.png,477,364,0,0
s01_50_IR_L_1376.png,478,362,0,0
s01_50_IR_L_1401.png,479,363,0,0
s01_50_IR_L_1426.png,475,363,0,0
s01_50_IR_L_1451.png,473,365,0,0
s01_50_IR_L_1476.png,470,367,0,0
s01_50_IR_L_1501.png,0,0,453,548
s01_50_IR_L_1526.png,472,369,0,0
s01_50_IR_L_1551.png,472,369,0,0
s01_50_IR_L_1576.png,470,369,0,0
s01_50_IR_L_1601.png,470,370,0,0
s01_50_IR_L_1626.png,472,370,0,0
s01_50_IR_L_1651.png,472,370,0,0
s01_50_IR_L_1676.png,472,371,0,0
s01_50_IR_L_1701.png,472,371,0,0
s01_50_IR_L_1726.png,472,371,0,0
s01_50_IR_L_1751.png,471,371,0,0
s01_50_IR_L_1776.png,472,372,0,0
s01_50_IR_R_0001.png,0,0,559,384
s01_50_IR_R_0026.png,0,0,557,384
s01_50_IR_R_0051.png,0,0,558,386
s01_50_IR_R_0076.png,0,0,559,385
s01_50_IR_R_0101.png,0,0,558,386
s01_50_IR_R_0126.png,0,0,558,387
s01_50_IR_R_0151.png,0,0,480,388
s01_50_IR_R_0176.png,0,0,558,387
s01_50_IR_R_0201.png,0,0,559,387
s01_50_IR_R_0226.png,0,0,558,387
s01_50_IR_R_0251.png,0,0,558,387
s01_50_IR_R_0276.png,0,0,561,389
s01_50_IR_R_0301.png,0,0,563,389
s01_50_IR_R_0326.png,0,0,561,389
s01_50_IR_R_0351.png,0,0,564,389
s01_50_IR_R_0376.png,0,0,567,390
s01_50_IR_R_0401.png,0,0,565,390
s01_50_IR_R_0426.png,0,0,564,389
s01_50_IR_R_0451.png,0,0,563,391
s01_50_IR_R_0476.png,0,0,562,390
s01_50_IR_R_0501.png,0,0,564,390
s01_50_IR_R_0526.png,0,0,561,390
s01_50_IR_R_0551.png,0,0,560,390
s01_50_IR_R_0576.png,0,0,559,390
s01_50_IR_R_0601.png,0,0,557,390
s01_50_IR_R_0626.png,0,0,560,389
s01_50_IR_R_0651.png,0,0,563,390
s01_50_IR_R_0676.png,0,0,564,389
s01_50_IR_R_0701.png,0,0,562,390
s01_50_IR_R_0726.png,0,0,564,389
s01_50_IR_R_0751.png,0,0,565,389
s01_50_IR_R_0776.png,0,0,565,388
s01_50_IR_R_0801.png,0,0,566,390
s01_50_IR_R_0826.png,0,0,564,390
s01_50_IR_R_0851.png,0,0,481,393
s01_50_IR_R_0876.png,0,0,563,391
s01_50_IR_R_0901.png,0,0,561,391
s01_50_IR_R_0926.png,0,0,562,392
s01_50_IR_R_0951.png,0,0,563,392
s01_50_IR_R_0976.png,0,0,562,392
s01_50_IR_R_1001.png,0,0,561,392
s01_50_IR_R_1026.png,0,0,559,391
s01_50_IR_R_1051.png,0,0,564,391
s01_50_IR_R_1076.png,0,0,563,391
s01_50_IR_R_1101.png,0,0,563,391
s01_50_IR_R_1126.png,0,0,483,394
s01_50_IR_R_1151.png,0,0,562,390
s01_50_IR_R_1176.png,0,0,562,389
s01_50_IR_R_1201.png,0,0,562,388
s01_50_IR_R_1226.png,0,0,563,386
s01_50_IR_R_1251.png,0,0,561,386
s01_50_IR_R_1276.png,643,400,480,394
s01_50_IR_R_1301.png,0,0,562,387
