FILENAME,LEYE_CENTER_X,LEYE_CENTER_Y,REYE_CENTER_X,REYE_CENTER_Y
s01_50_IR_F_0001.png,0.0,0.0,0.0,0.0
s01_50_IR_F_0026.png,549.0,422.5,471.2,424.1
s01_50_IR_F_0051.png,551.0,423.6,473.3,424.8
s01_50_IR_F_0076.png,553.2,424.9,474.8,425.2
s01_50_IR_F_0101.png,552.7,427.1,471.1,427.6
s01_50_IR_F_0126.png,550.5,425.1,472.1,425.6
s01_50_IR_F_0151.png,552.0,426.0,473.2,426.6
s01_50_IR_F_0176.png,551.5,425.8,472.8,425.9
s01_50_IR_F_0201.png,554.1,428.4,475.5,428.3
s01_50_IR_F_0226.png,551.1,427.6,472.1,427.9
s01_50_IR_F_0251.png,554.6,427.5,475.5,427.7
s01_50_IR_F_0276.png,555.2,431.5,473.5,431.1
s01_50_IR_F_0301.png,556.9,428.8,477.3,429.0
s01_50_IR_F_0326.png,0.0,0.0,0.0,0.0
s01_50_IR_F_0351.png,559.3,428.6,480.1,428.6
s01_50_IR_F_0376.png,558.8,429.0,479.7,429.0
s01_50_IR_F_0401.png,561.0,428.9,482.2,429.0
s01_50_IR_F_0426.png,0.0,0.0,0.0,0.0
s01_50_IR_F_0451.png,559.4,428.2,480.6,428.1
s01_50_IR_F_0476.png,558.7,427.8,479.6,427.3
s01_50_IR_F_0501.png,559.3,428.0,479.9,427.6
s01_50_IR_F_0526.png,559.3,428.5,480.1,427.6
s01_50_IR_F_0551.png,560.6,428.0,481.2,427.1
s01_50_IR_F_0576.png,560.7,428.3,481.2,427.2
s01_50_IR_F_0601.png,556.7,429.8,477.4,428.1
s01_50_IR_F_0626.png,560.7,427.8,481.1,425.7
s01_50_IR_F_0651.png,560.1,427.1,481.0,425.4
s01_50_IR_F_0676.png,560.7,427.6,480.8,425.4
s01_50_IR_F_0701.png,558.3,426.0,479.0,424.7
s01_50_IR_F_0726.png,559.7,425.3,480.2,423.8
s01_50_IR_F_0751.png,559.6,424.8,480.8,423.1
s01_50_IR_F_0776.png,559.8,424.8,480.6,422.5
s01_50_IR_F_0801.png,557.8,424.3,478.8,423.1
s01_50_IR_F_0826.png,560.0,424.6,480.6,422.8
s01_50_IR_F_0851.png,559.0,425.2,479.6,423.7
s01_50_IR_F_0876.png,560.1,426.0,480.4,424.2
s01_50_IR_F_0901.png,559.6,427.0,479.8,425.6
s01_50_IR_F_0926.png,561.9,427.4,481.2,426.4
s01_50_IR_F_0951.png,560.3,428.6,479.9,427.4
s01_50_IR_F_0976.png,562.2,429.3,482.2,427.4
s01_50_IR_F_1001.png,561.4,429.9,480.8,428.6
s01_50_IR_F_1026.png,563.0,428.9,482.5,427.3
s01_50_IR_F_1051.png,561.9,429.3,481.3,427.7
s01_50_IR_F_1076.png,0.0,0.0,0.0,0.0
s01_50_IR_F_1101.png,562.1,427.9,480.8,426.3
s01_50_IR_F_1126.png,562.8,427.0,482.5,425.6
s01_50_IR_F_1151.png,562.1,427.0,481.5,425.5
s01_50_IR_F_1176.png,562.6,425.7,481.9,424.1
s01_50_IR_F_1201.png,562.5,424.9,482.2,423.8
s01_50_IR_F_1226.png,561.4,425.8,481.0,424.3
s01_50_IR_F_1251.png,560.5,426.3,480.0,425.3
s01_50_IR_F_1276.png,558.7,427.2,478.0,426.1
s01_50_IR_F_1301.png,0.0,0.0,0.0,0.0
s01_50_IR_F_1326.png,555.2,426.5,474.5,425.7
s01_50_IR_F_1351.png,556.0,427.9,474.6,426.3
s01_50_IR_F_1376.png,552.9,428.2,472.1,427.1
s01_50_IR_F_1401.png,552.5,428.9,471.9,427.6
s01_50_IR_F_1426.png,551.3,428.2,470.1,427.8
s01_50_IR_F_1451.png,553.6,428.7,472.4,427.4
s01_50_IR_F_1476.png,553.8,428.8,472.7,427.7
s01_50_IR_F_1501.png,556.7,429.0,475.6,427.5
s01_50_IR_F_1526.png,557.4,428.3,476.1,426.9
s01_50_IR_F_1551.png,558.5,428.3,476.8,427.1
s01_50_IR_F_1576.png,558.7,428.5,477.3,427.8
s01_50_IR_F_1601.png,560.1,428.8,478.9,428.1
s01_50_IR_F_1626.png,561.5,428.5,479.9,427.9
s01_50_IR_F_1651.png,563.0,429.1,482.0,427.9
s01_50_IR_F_1676.png,563.6,429.4,482.1,428.2
s01_50_IR_F_1701.png,565.0,429.6,483.8,428.1
s01_50_IR_F_1726.png,565.5,429.9,483.9,428.2
s01_50_IR_F_1751.png,566.0,430.2,484.4,428.8
s01_50_IR_F_1776.png,567.0,430.0,485.8,428.2
s01_50_IR_L_0001.png,473.4,393.9,419.4,399.1
s01_50_IR_L_0026.png,471.4,394.9,417.5,401.0
s01_50_IR_L_0051.png,473.3,394.6,418.9,399.5
s01_50_IR_L_0076.png,470.9,396.0,415.3,401.1
s01_50_IR_L_0101.png,470.4,397.1,415.7,401.6
s01_50_IR_L_0126.png,468.3,397.2,414.0,401.7
s01_50_IR_L_0151.png,469.7,396.5,415.0,401.5
s01_50_IR_L_0176.png,471.9,397.9,416.5,401.8
s01_50_IR_L_0201.png,470.0,398.3,415.3,402.4
s01_50_IR_L_0226.png,472.0,399.4,416.3,403.0
s01_50_IR_L_0251.png,471.6,399.7,415.6,403.9
s01_50_IR_L_0276.png,473.1,399.4,416.7,403.5
s01_50_IR_L_0301.png,474.2,399.8,417.7,403.6
s01_50_IR_L_0326.png,476.0,399.4,419.7,403.4
s01_50_IR_L_0351.png,476.2,399.6,419.3,403.4
s01_50_IR_L_0376.png,478.1,399.8,420.6,403.8
s01_50_IR_L_0401.png,477.8,400.0,419.5,403.7
s01_50_IR_L_0426.png,478.1,398.9,419.8,402.6
s01_50_IR_L_0451.png,477.0,399.2,419.1,402.8
s01_50_IR_L_0476.png,477.4,398.7,419.7,401.9
s01_50_IR_L_0501.png,476.4,398.4,418.8,402.0
s01_50_IR_L_0526.png,477.5,398.9,419.6,401.7
s01_50_IR_L_0551.png,476.6,398.3,418.6,401.7
s01_50_IR_L_0576.png,475.2,399.6,418.3,402.0
s01_50_IR_L_0601.png,477.1,397.9,418.4,401.1
s01_50_IR_L_0626.png,477.8,397.9,418.8,400.5
s01_50_IR_L_0651.png,475.7,397.1,417.2,401.3
s01_50_IR_L_0676.png,476.3,396.9,417.7,400.3
s01_50_IR_L_0701.png,475.8,395.8,417.2,399.8
s01_50_IR_L_0726.png,475.9,395.3,418.4,399.2
s01_50_IR_L_0751.png,475.4,395.1,417.9,399.2
s01_50_IR_L_0776.png,475.2,394.6,417.1,398.9
s01_50_IR_L_0801.png,476.0,394.8,418.1,398.6
s01_50_IR_L_0826.png,475.3,394.9,417.7,399.0
s01_50_IR_L_0851.png,474.5,396.3,417.1,399.7
s01_50_IR_L_0876.png,473.9,397.1,415.9,400.9
s01_50_IR_L_0901.png,474.3,398.0,416.1,401.4
s01_50_IR_L_0926.png,473.2,398.7,415.4,401.5
s01_50_IR_L_0951.png,474.9,399.9,416.5,402.4
s01_50_IR_L_0976.png,474.9,400.5,416.8,403.0
s01_50_IR_L_1001.png,0.0,0.0,0.0,0.0
s01_50_IR_L_1026.png,474.5,399.5,415.4,402.6
s01_50_IR_L_1051.png,475.0,399.1,416.5,401.4
s01_50_IR_L_1076.png,473.7,398.5,414.8,401.4
s01_50_IR_L_1101.png,475.7,397.5,416.7,400.2
s01_50_IR_L_1126.png,473.8,397.0,415.5,400.4
s01_50_IR_L_1151.png,477.7,395.8,418.1,399.3
s01_50_IR_L_1176.png,475.6,395.2,417.1,399.0
s01_50_IR_L_1201.png,474.3,396.7,415.7,400.1
s01_50_IR_L_1226.png,472.9,396.5,414.8,400.1
s01_50_IR_L_1251.png,473.4,397.6,414.7,400.4
s01_50_IR_L_1276.png,470.5,398.9,412.4,402.2
