FILENAME,LEYE_CENTER_X,LEYE_CENTER_Y,REYE_CENTER_X,REYE_CENTER_Y
s02_50_IR_F_0001.png,554.3,394.3,473.2,395.9
s02_50_IR_F_0026.png,557.8,396.2,475.9,396.8
s02_50_IR_F_0051.png,557.5,397.5,476.2,398.4
s02_50_IR_F_0076.png,557.3,397.7,475.6,399.1
s02_50_IR_F_0101.png,555.9,396.7,474.4,398.9
s02_50_IR_F_0126.png,554.7,397.5,472.8,398.8
s02_50_IR_F_0151.png,556.7,399.0,475.1,399.6
s02_50_IR_F_0176.png,556.3,399.6,474.8,400.0
s02_50_IR_F_0201.png,556.1,399.3,473.9,400.3
s02_50_IR_F_0226.png,556.7,400.5,474.9,400.6
s02_50_IR_F_0251.png,558.2,399.9,475.5,400.5
s02_50_IR_F_0276.png,555.2,399.7,473.1,401.0
s02_50_IR_F_0301.png,560.5,401.6,477.6,402.4
s02_50_IR_F_0326.png,562.7,401.9,480.6,401.9
s02_50_IR_F_0351.png,563.5,401.8,481.3,401.8
s02_50_IR_F_0376.png,565.1,402.5,481.7,402.6
s02_50_IR_F_0401.png,566.7,401.9,484.2,402.0
s02_50_IR_F_0426.png,564.9,402.3,482.1,402.2
s02_50_IR_F_0451.png,563.9,402.0,480.8,402.3
s02_50_IR_F_0476.png,560.5,402.9,477.2,404.2
s02_50_IR_F_0501.png,562.2,402.7,478.5,403.4
s02_50_IR_F_0526.png,560.1,402.7,476.5,404.0
s02_50_IR_F_0551.png,558.0,402.2,474.5,403.5
s02_50_IR_F_0576.png,557.0,401.2,473.6,403.6
s02_50_IR_F_0601.png,556.7,400.9,473.7,403.1
s02_50_IR_F_0626.png,559.1,400.9,476.2,402.9
s02_50_IR_F_0651.png,559.7,400.9,477.2,402.1
s02_50_IR_F_0676.png,559.4,400.6,476.5,402.2
s02_50_IR_F_0701.png,560.4,400.2,477.4,402.1
s02_50_IR_F_0726.png,563.0,400.5,480.4,401.5
s02_50_IR_F_0751.png,564.1,401.2,481.1,402.4
s02_50_IR_F_0776.png,561.9,400.8,478.8,401.9
s02_50_IR_F_0801.png,562.5,400.6,479.2,401.7
s02_50_IR_F_0826.png,561.3,401.1,478.7,402.1
s02_50_IR_F_0851.png,560.9,401.7,478.0,402.4
s02_50_IR_F_0876.png,558.9,401.1,476.0,402.0
s02_50_IR_F_0901.png,558.9,402.3,475.2,403.4
s02_50_IR_F_0926.png,559.5,402.5,475.5,402.3
s02_50_IR_F_0951.png,557.6,401.8,474.6,403.2
s02_50_IR_F_0976.png,558.0,402.9,475.0,403.6
s02_50_IR_F_1001.png,556.8,402.9,474.2,403.8
s02_50_IR_F_1026.png,556.1,401.8,472.9,402.7
s02_50_IR_F_1051.png,558.1,401.8,475.9,402.5
s02_50_IR_F_1076.png,558.8,401.2,475.8,402.5
s02_50_IR_F_1101.png,559.4,401.8,476.5,402.2
s02_50_IR_F_1126.png,558.6,401.1,476.3,401.7
s02_50_IR_F_1151.png,558.4,400.0,475.6,400.9
s02_50_IR_F_1176.png,560.6,400.3,477.8,399.9
s02_50_IR_F_1201.png,559.2,399.3,476.9,400.1
s02_50_IR_F_1226.png,559.1,399.4,477.1,400.0
s02_50_IR_F_1251.png,560.2,398.7,478.4,399.3
s02_50_IR_F_1276.png,559.9,398.5,477.7,399.2
s02_50_IR_F_1301.png,558.2,398.2,476.4,399.0
s02_50_IR_F_1326.png,557.6,395.8,475.8,397.2
