FILENAME,LEYE_CENTER_X,LEYE_CENTER_Y,REYE_CENTER_X,REYE_CENTER_Y
s03_30_DEPTH_F_0001.png,575.7,431.5,473.6,436.6
s03_30_DEPTH_F_0026.png,577.2,430.6,475.6,434.9
s03_30_DEPTH_F_0051.png,575.6,430.4,474.0,436.1
s03_30_DEPTH_F_0076.png,570.0,426.7,467.9,433.0
s03_30_DEPTH_F_0101.png,570.7,426.9,469.0,433.5
s03_30_DEPTH_F_0126.png,571.1,430.4,469.4,436.5
s03_30_DEPTH_F_0151.png,567.9,428.9,467.1,436.2
s03_30_DEPTH_F_0176.png,567.3,428.5,466.5,435.5
s03_30_DEPTH_F_0201.png,563.8,426.0,464.0,433.4
s03_30_DEPTH_F_0226.png,564.8,427.1,464.8,434.8
s03_30_DEPTH_F_0251.png,561.9,425.6,462.9,433.3
s03_30_DEPTH_F_0276.png,558.3,424.4,460.1,431.8
s03_30_DEPTH_F_0301.png,558.9,423.9,461.2,431.9
s03_30_DEPTH_F_0326.png,559.5,424.5,461.3,432.4
s03_30_DEPTH_F_0351.png,561.4,423.1,464.3,431.7
s03_30_DEPTH_F_0376.png,560.6,424.1,463.2,432.8
s03_30_DEPTH_F_0401.png,560.0,422.5,463.3,431.5
s03_30_DEPTH_F_0426.png,558.2,424.4,462.7,433.3
s03_30_DEPTH_F_0451.png,560.1,423.7,463.9,432.0
s03_30_DEPTH_F_0476.png,560.0,422.1,463.3,429.3
s03_30_DEPTH_F_0501.png,561.9,421.7,466.1,428.4
s03_30_DEPTH_F_0526.png,561.0,421.2,466.1,427.3
s03_30_DEPTH_F_0551.png,560.2,420.8,464.5,426.7
s03_30_DEPTH_F_0576.png,559.5,419.9,466.1,425.4
s03_30_DEPTH_F_0601.png,558.7,419.5,465.4,424.7
s03_30_DEPTH_F_0626.png,558.7,418.2,465.6,423.0
s03_30_DEPTH_F_0651.png,557.2,416.8,465.0,422.1
s03_30_DEPTH_F_0676.png,559.0,418.4,466.0,423.5
s03_30_DEPTH_F_0701.png,559.4,417.2,466.1,422.8
s03_30_DEPTH_F_0726.png,557.0,416.4,464.2,422.3
s03_30_DEPTH_F_0751.png,556.6,415.3,464.4,421.7
s03_30_DEPTH_F_0776.png,554.7,414.3,463.0,421.0
s03_30_DEPTH_F_0801.png,553.9,413.6,462.6,419.9
s03_30_DEPTH_F_0826.png,552.1,413.8,461.1,420.8
s03_30_DEPTH_F_0851.png,550.4,414.0,459.1,421.3
s03_30_DEPTH_F_0876.png,549.3,415.5,458.5,422.5
s03_30_DEPTH_F_0901.png,548.6,416.4,458.1,423.5
s03_30_DEPTH_F_0926.png,543.2,416.0,453.2,424.0
s03_30_DEPTH_F_0951.png,546.7,416.7,455.9,423.9
s03_30_DEPTH_F_0976.png,546.7,418.2,455.3,425.0
s03_30_DEPTH_F_1001.png,546.5,418.7,456.4,425.8
s03_30_DEPTH_F_1026.png,549.0,418.5,458.2,425.0
s03_30_DEPTH_F_1051.png,546.4,418.0,455.5,425.5
s03_30_DEPTH_F_1076.png,554.1,417.3,462.2,424.1
s03_30_DEPTH_F_1101.png,549.2,418.2,458.3,425.3
s03_30_DEPTH_F_1126.png,555.5,416.2,464.5,423.5
s03_30_DEPTH_F_1151.png,550.4,416.9,459.4,425.1
s03_30_DEPTH_F_1176.png,553.7,414.6,464.2,422.4
s03_30_DEPTH_F_1201.png,547.3,415.9,456.9,424.8
s03_30_DEPTH_F_1226.png,549.8,415.1,459.5,423.8
s03_30_DEPTH_F_1251.png,550.1,415.1,460.4,424.0
s03_30_DEPTH_F_1276.png,547.7,415.2,458.5,423.9
s03_30_DEPTH_F_1301.png,542.1,414.5,454.3,423.2
s03_30_DEPTH_F_1326.png,544.1,414.7,455.9,422.7
s03_30_DEPTH_F_1351.png,544.4,415.8,455.5,423.5
s03_30_DEPTH_F_1376.png,542.2,415.2,454.1,423.2
s03_30_DEPTH_F_1401.png,546.5,415.3,458.2,422.5
s03_30_DEPTH_F_1426.png,543.8,414.9,455.7,422.6
s03_30_DEPTH_F_1451.png,546.2,414.7,458.4,422.5
s03_30_DEPTH_F_1476.png,545.5,415.1,457.9,422.9
s03_30_DEPTH_F_1501.png,545.2,414.9,458.2,423.9
s03_30_DEPTH_F_1526.png,542.3,415.6,455.0,424.7
s03_30_DEPTH_F_1551.png,544.8,415.5,458.1,423.6
s03_30_DEPTH_F_1576.png,543.9,415.7,457.2,424.1
s03_30_DEPTH_F_1601.png,545.9,415.4,458.6,423.5
s03_30_DEPTH_F_1626.png,544.0,416.2,456.4,425.0
s03_30_DEPTH_F_1651.png,545.7,415.0,459.1,423.8
s03_30_DEPTH_F_1676.png,544.8,415.5,458.5,424.1
s03_30_DEPTH_F_1701.png,543.2,414.6,457.9,424.1
s03_30_DEPTH_F_1726.png,543.8,414.9,458.3,424.2
s03_30_DEPTH_F_1751.png,542.5,414.1,456.6,423.7
s03_30_DEPTH_F_1776.png,542.2,414.9,456.3,424.0
s03_30_DEPTH_L_0001.png,586.7,394.6,496.9,403.7
s03_30_DEPTH_L_0026.png,584.8,394.2,496.0,403.7
s03_30_DEPTH_L_0051.png,587.0,393.1,497.7,402.5
s03_30_DEPTH_L_0076.png,581.8,390.6,493.7,400.9
s03_30_DEPTH_L_0101.png,588.4,390.6,499.9,400.6
s03_30_DEPTH_L_0126.png,583.5,393.3,495.8,403.0
s03_30_DEPTH_L_0151.png,584.8,392.6,497.5,402.4
s03_30_DEPTH_L_0176.png,583.4,391.5,496.2,401.4
s03_30_DEPTH_L_0201.png,588.7,388.7,503.1,399.5
s03_30_DEPTH_L_0226.png,578.6,390.2,494.1,401.4
s03_30_DEPTH_L_0251.png,584.4,387.6,498.8,399.0
s03_30_DEPTH_L_0276.png,580.2,388.3,495.0,400.1
s03_30_DEPTH_L_0301.png,582.0,387.2,496.9,399.1
s03_30_DEPTH_L_0326.png,580.7,388.3,495.8,400.2
s03_30_DEPTH_L_0351.png,584.0,387.8,498.9,400.1
s03_30_DEPTH_L_0376.png,585.4,387.4,500.5,400.0
s03_30_DEPTH_L_0401.png,584.5,387.2,500.0,400.6
s03_30_DEPTH_L_0426.png,590.0,387.6,505.2,399.1
s03_30_DEPTH_L_0451.png,585.2,387.7,502.4,399.1
s03_30_DEPTH_L_0476.png,587.0,385.3,503.9,396.2
s03_30_DEPTH_L_0501.png,588.0,385.9,504.2,396.4
s03_30_DEPTH_L_0526.png,590.5,384.4,507.4,394.5
s03_30_DEPTH_L_0551.png,592.1,383.9,508.7,393.6
s03_30_DEPTH_L_0576.png,593.7,382.9,510.4,391.8
s03_30_DEPTH_L_0601.png,592.3,383.3,509.7,392.1
s03_30_DEPTH_L_0626.png,589.9,381.6,508.0,391.4
s03_30_DEPTH_L_0651.png,592.4,381.2,510.6,390.8
s03_30_DEPTH_L_0676.png,591.6,381.6,510.7,390.6
s03_30_DEPTH_L_0701.png,593.3,380.6,511.8,389.9
s03_30_DEPTH_L_0726.png,590.8,380.1,510.2,390.1
s03_30_DEPTH_L_0751.png,592.6,378.0,512.0,388.4
s03_30_DEPTH_L_0776.png,592.2,377.5,512.3,388.3
s03_30_DEPTH_L_0801.png,589.8,376.8,510.6,387.7
s03_30_DEPTH_L_0826.png,593.4,377.6,513.8,387.8
s03_30_DEPTH_L_0851.png,589.9,377.8,510.9,389.5
s03_30_DEPTH_L_0876.png,591.0,379.1,512.3,389.9
s03_30_DEPTH_L_0901.png,586.8,379.6,507.9,390.9
s03_30_DEPTH_L_0926.png,587.3,380.5,509.8,390.9
s03_30_DEPTH_L_0951.png,585.6,380.8,507.6,391.9
s03_30_DEPTH_L_0976.png,590.1,381.3,511.5,392.3
s03_30_DEPTH_L_1001.png,586.3,383.2,507.8,393.8
s03_30_DEPTH_L_1026.png,590.0,382.4,510.9,393.1
s03_30_DEPTH_L_1051.png,587.1,383.0,508.3,393.6
s03_30_DEPTH_L_1076.png,589.0,381.2,509.9,392.2
s03_30_DEPTH_L_1101.png,589.0,381.6,510.3,392.9
s03_30_DEPTH_L_1126.png,590.9,380.6,511.8,391.7
s03_30_DEPTH_L_1151.png,591.2,381.0,512.3,392.7
s03_30_DEPTH_L_1176.png,591.2,379.4,512.3,391.3
s03_30_DEPTH_L_1201.png,588.7,379.7,510.7,391.5
s03_30_DEPTH_L_1226.png,590.4,379.6,512.1,391.9
s03_30_DEPTH_L_1251.png,592.7,378.7,514.5,390.9
s03_30_DEPTH_L_1276.png,583.3,386.2,508.6,397.8
s03_30_DEPTH_L_1301.png,593.0,378.7,516.7,390.7
s03_30_DEPTH_L_1326.png,589.1,379.2,513.1,391.9
s03_30_DEPTH_L_1351.png,595.1,378.4,518.6,390.0
s03_30_DEPTH_L_1376.png,590.1,379.7,513.9,391.6
s03_30_DEPTH_L_1401.png,594.3,379.2,518.4,390.4
s03_30_DEPTH_L_1426.png,591.7,379.8,515.7,391.4
s03_30_DEPTH_L_1451.png,596.3,378.7,520.1,390.5
s03_30_DEPTH_L_1476.png,593.2,379.8,517.5,391.4
s03_30_DEPTH_L_1501.png,594.4,379.5,518.4,390.9
s03_30_DEPTH_L_1526.png,592.2,380.8,517.2,392.5
s03_30_DEPTH_L_1551.png,595.2,379.8,519.3,392.0
s03_30_DEPTH_L_1576.png,593.3,380.3,517.7,392.4
s03_30_DEPTH_L_1601.png,593.1,380.1,518.0,392.8
s03_30_DEPTH_L_1626.png,595.6,379.8,519.3,392.2
s03_30_DEPTH_L_1651.png,594.0,379.9,518.8,392.1
s03_30_DEPTH_L_1676.png,598.0,379.6,522.1,391.1
s03_30_DEPTH_L_1701.png,595.6,379.9,520.3,392.1
s03_30_DEPTH_L_1726.png,598.9,379.0,522.5,390.8
s03_30_DEPTH_L_1751.png,595.5,378.6,520.5,391.8
s03_30_DEPTH_L_1776.png,598.0,379.0,522.6,391.0
